Title,Description,State,Priority,Estimate,Labels,Project,Assignee,Due Date
Epic: MVP - Upload e leitura XML,"Épico que agrupa tasks do MVP: upload, parsing, validação básica",Todo,High,0,epic,Notax,,
MVP: Implementar endpoint de upload ZIP,"Criar endpoint (FastAPI) para receber ZIP, extrair XMLs e retornar status",Todo,High,6,backend,mvp-notas,,
MVP: Detectar tipo de nota (NFe/NFSe),"Analisar XML e classificar modelo (55, 65, NFSe etc). Marcar notas inválidas.",Todo,High,4,backend,mvp-notas,,
MVP: Parser XML com xmltodict,"Implementar módulo que transforma XML em dict/pandas row com campos fiscais principais",Todo,High,8,backend,mvp-notas,,
MVP: Validações básicas (NCM/CFOP/CST),"Validar formato NCM (8 dígitos), CFOP existente, CST compatível com regime",Todo,High,10,backend,mvp-notas,,
MVP: Cálculo de impostos básicos,"Calcular ICMS, ISS, base de cálculo e comparar com valores do XML",Todo,High,8,backend,mvp-notas,,
MVP: Gerar relatório PDF resumido,"Gerar PDF com lista de erros, resumo de impostos e recomendações (ReportLab)",Todo,Medium,8,backend,mvp-notas,,
MVP: Dashboard simples (HTML/JS),"Página que mostra métricas: total notas, erros por tipo, impostos totais",Todo,Medium,10,frontend,mvp-notas,,
MVP: Roteiro de testes unitários,"Criar testes para parser, validações e cálculo de impostos",Todo,High,6,tests,mvp-notas,,
Epic: Backend - Arquitetura e API,"Épico com tasks de arquitetura, modelos e endpoints",Todo,High,0,epic,Notax,,
Backend: Projeto inicial FastAPI,"Estrutura do projeto, dependências, pydantic models e configuração",Todo,High,6,backend,backend,,
Backend: Modelo de dados (ORM) inicial,"Criar models SQLAlchemy para notas, fornecedores, logs e análises",Todo,High,8,backend,backend,,
Backend: Endpoint /analyze (sync/async),"Endpoint que processa upload e retorna resultado resumido",Todo,High,6,backend,backend,,
Backend: Queue de processamento (opcional),"Adicionar fila (RQ/Celery) para processar grandes ZIPs assíncronos",Todo,Medium,12,backend,backend,,
Backend: Logging e auditoria,"Registrar processamento de cada nota e resultados para auditoria futura",Todo,Medium,6,backend,backend,,
Backend: Validação de schema XML,"Adicionar validação de campos obrigatórios e tratamento de XMLs mal formados",Todo,High,6,backend,backend,,
Epic: Data & Regras fiscais,"Regras fiscais, tabelas CFOP/NCM/CST e fontes",Todo,High,0,epic,Notax,,
Data: Importar tabelas CFOP e NCM,"Criar DB/tables com CFOPs e NCMs válidos (arquivo inicial CSV/JSON)",Todo,High,6,data,data,,
Data: Regras de compatibilidade CST->Regime,"Regras que mapeiam CST conforme regime tributário (Simples, Lucro Presumido, etc.)",Todo,High,8,data,data,,
Data: Atualização/versão das regras,"Mecanismo para atualizar regras fiscais (migrations/seeders)",Todo,Medium,6,data,data,,
Epic: Banco de dados & persistência,"Design e migrações",Todo,High,0,epic,Notax,,
DB: Esquema inicial (DDL),"Definir tabelas: nota, item_nota, fornecedor, cliente, processamento, erro_validacao",Todo,High,8,db,db,,
DB: Migrations e seeders,"Configurar Alembic (ou similar) e seeds iniciais",Todo,Medium,6,db,db,,
Epic: Frontend & UX,"Interface para upload, visualização e relatórios",Todo,High,0,epic,Notax,,
Frontend: Página de upload e progresso,"Form com upload de ZIP e barra de progresso do processamento",Todo,High,8,frontend,frontend,,
Frontend: Visualizador de relatório por nota,"Tela que mostra XML, erros detectados e cálculo detalhado por nota",Todo,High,10,frontend,frontend,,
Frontend: Tela de dashboard mensal,"Gráficos: notas processadas por mês, principais erros, impostos",Todo,Medium,10,frontend,frontend,,
Frontend: Exportar PDF/CSV,"Botão para exportar relatórios em PDF e CSV por período",Todo,Medium,4,frontend,frontend,,
Epic: Infra & Deploy,"Deploy, CI/CD, ambiente e segurança",Todo,High,0,epic,Notax,,
Infra: Dockerizar aplicação,"Dockerfile e docker-compose para dev e produção",Todo,High,6,infra,infra,,
Infra: Deploy inicial (Render/Railway/VPS),"Configurar deploy contínuo no provedor escolhido",Todo,High,8,infra,infra,,
Infra: Backups do banco,"Script/cron para backup e restore do PostgreSQL",Todo,Medium,6,infra,infra,,
Infra: SSL e segurança,"Forçar HTTPS, CORS, rate-limit e validação de uploads",Todo,High,6,infra,infra,,
Epic: Testes & QA,"Testes, casos e validação manual",Todo,High,0,epic,Notax,,
QA: Casos de teste manuais,"Lista de casos reais: XMLs válidos, inválidos, com retornos fiscais diferentes",Todo,High,6,tests,qa,,
QA: Testes de carga (bulk ZIPs),"Testar performance com 100/1000 notas por ZIP",Todo,Medium,8,tests,qa,,
QA: Testes de integração (frontend->backend),"Automatizar testes e2e (Playwright ou Cypress)",Todo,Medium,8,tests,qa,,
Epic: Segurança & Compliance,"Privacidade, LGPD, contratos",Todo,High,0,epic,Notax,,
Security: Política de privacidade e LGPD,"Rascunho para tratamento de dados e retenção de XMLs",Todo,High,6,legal,legal,,
Security: Encriptação em repouso,"Configurar criptografia para arquivos sensíveis (se aplicável)",Todo,Medium,6,infra,legal,,
Security: Controle de acesso (auth),"Implementar autenticação básica (JWT/OAuth) e roles (usuario/contador/admin)",Todo,High,8,backend,security,,
Epic: Business & Go-to-market,"Preparo comercial, precificação e trial",Todo,High,0,epic,Notax,,
Biz: Página de pricing e trial,"Criar conteúdo e páginas que expliquem planos e trial grátis",Todo,High,6,marketing,biz,,
Biz: Funil de venda para contadores,"Criar materiais: pitch, demo script e email outreach",Todo,Medium,8,marketing,biz,,
Biz: Plano de suporte e SLA,"Definir SLA para planos pagos e processo de suporte",Todo,Medium,6,ops,biz,,
Epic: Docs & Onboarding,"Documentação para usuário e desenvolvedores",Todo,High,0,epic,Notax,,
Docs: Guia de uso (end-user),"Passo a passo: upload, interpretar relatórios e ações recomendadas",Todo,Medium,6,docs,docs,,
Docs: API docs (OpenAPI),"Gerar OpenAPI e docs interativos",Todo,Medium,4,docs,docs,,
Docs: Runbook dev & deploy,"Como rodar local, variáveis de ambiente e deploy",Todo,Medium,6,docs,docs,,
Epic: Melhorias pós-MVP,"Features avançadas para roadmap",Todo,Medium,0,epic,Notax,,
Roadmap: Integração com contabilidade (SaaS contábil),"Conectar via API ou integração com SPED/ERPs e importar lançamentos",Todo,Medium,12,roadmap,roadmap,,
Roadmap: Regras fiscais regionais (prefeituras),"Adicionar validações específicas por município para NFSe",Todo,Medium,16,roadmap,roadmap,,
Roadmap: Multi-empresa e billing,"Gerenciar múltiplas empresas por conta e cobrança por empresa",Todo,Medium,10,roadmap,roadmap,,
Roadmap: Painel histórico e comparativos,"Comparar meses, fornecedores e identificar tendências",Todo,Medium,10,roadmap,roadmap,,
Roadmap: Integrar OCR para PDFs,"Extrair dados de DANFE/PDFs que não tenham XML",Todo,Low,20,roadmap,roadmap,,
